City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
242,Nanortalik,GL,2021-01-27 21:53:24,60.1432,-45.2371,25.11,92,100,6.96
243,Celestun,MX,2021-01-27 21:53:25,20.8667,-90.4,79.03,78,0,13.89
244,Turayf,SA,2021-01-27 21:53:26,31.6725,38.6637,53.6,47,0,4.61
245,Marshall,US,2021-01-27 21:53:26,34.3834,-86.3333,50.0,71,75,12.66
246,Ulladulla,AU,2021-01-27 21:53:26,-35.35,150.4667,66.99,82,75,9.22
247,Komsomolskiy,UZ,2021-01-27 21:53:26,40.4272,71.7189,30.2,59,0,4.61
248,Chimbote,PE,2021-01-27 21:48:34,-9.0853,-78.5783,73.96,73,100,11.14
249,Deputatskiy,RU,2021-01-27 21:53:27,69.3,139.9,-21.64,89,100,2.62
250,Nueve De Julio,AR,2021-01-27 21:51:21,-35.4444,-60.8831,98.01,21,0,1.01
251,Haines Junction,CA,2021-01-27 21:53:27,60.7522,-137.5108,-11.2,58,83,1.14
252,Rawson,AR,2021-01-27 21:50:05,-43.3002,-65.1023,66.63,39,100,5.46
253,Coihaique,CL,2021-01-27 21:53:28,-45.5752,-72.0662,57.2,54,75,6.91
254,Sola,VU,2021-01-27 21:53:28,-13.8833,167.55,82.29,81,100,20.98
255,Vardo,NO,2021-01-27 21:53:28,70.3705,31.1107,24.8,86,75,23.02
256,Katsuura,JP,2021-01-27 21:53:28,35.1333,140.3,46.0,65,75,13.8
257,Paranapanema,BR,2021-01-27 21:53:29,-23.3886,-48.7228,73.74,83,100,4.99
258,Goya,AR,2021-01-27 21:53:29,-29.14,-59.2626,85.77,52,45,5.93
259,Ahipara,NZ,2021-01-27 21:53:30,-35.1667,173.1667,70.45,71,63,5.64
260,Saint-Philippe,RE,2021-01-27 21:53:30,-21.3585,55.7679,77.0,69,0,5.75
261,Contamana,PE,2021-01-27 21:53:31,-7.3333,-75.0167,88.39,51,20,6.42
262,Santa Rosalia,MX,2021-01-27 21:53:32,27.3167,-112.2833,59.85,49,99,9.4
263,Soyo,AO,2021-01-27 21:53:32,-6.1349,12.3689,80.11,80,100,1.52
264,Olinda,BR,2021-01-27 21:51:03,-8.0089,-34.8553,80.6,65,75,8.05
265,Kinshasa,CD,2021-01-27 21:53:33,-4.3246,15.3215,75.2,83,20,5.75
266,Mahanoro,MG,2021-01-27 21:53:33,-19.9,48.8,76.55,83,2,3.71
267,Porto Novo,BJ,2021-01-27 21:53:33,6.4965,2.6036,84.2,84,20,12.66
268,Sukhothai,TH,2021-01-27 21:53:33,17.25,99.6667,77.0,99,0,3.2
